Stage,Runtime (s),Experimental flow (%),Included in denoising flow,Denoising flow (%),Is bottleneck
1. Image read and decode,0.014722899999469519,0.20114078185863368,True,0.20120943778037656,False
2. BGR to RGB,0.006416900025215,0.08766617230484054,True,0.08769609563421034,False
3. Resize or crop,0.0016848999948706478,0.0230187057124684,True,0.023026562748935164,False
4. RGB to grayscale,0.0009071000094991177,0.012392586049025711,True,0.012396816043610157,False
5. Float32 normalization,0.00010570001904852688,0.0014440486911314492,True,0.0014445415921384706,False
6. Gaussian-noise generation,0.0004797999863512814,0.006554914072223256,False,,False
7. CPU NLM denoising,7.275575099978596,99.39718833474589,True,99.43111584323377,True
8. PSNR and SSIM evaluation,0.002017799997702241,0.027566706911464563,False,,False
9. Float32 to uint8,6.319998647086322e-05,0.0008634232856748692,True,0.0008637180002572848,False
10. PNG encoding and saving,0.0177257000177633,0.24216432636864826,True,0.24224698496670302,False
